Sentence,Emotion,Cleaned_Sentence
bố mày ngứa mắt lắm rồi đấy,Anger,bố mày ngứa_mắt lắm rồi đấy
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),Anger,thề địt_mẹ ngay đoạn hay cái lên nhạc cast muốn đập điện_thoại vãi icon_vui
cả đám súc vật này,Anger,cả đám súc_vật này
bố mấy thằng bệnh,Disgust,bố mấy thằng bệnh
thật khó để có cả 2 khi chúng ta còn trẻ :),Sadness,thật khó để có cả 2 khi chúng_ta còn trẻ icon_vui
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,Disgust,nếu cảm_thấy không làm được thì nghỉ làm đi đã xin đi làm_thuê thì phải chấp_nhận thôi kêu than cái gì
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố_mẹ vì mấy tin con nhà người_ta như thế_nào
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,Disgust,còn em_trai cưng của tao sang nhà người_thân_quen của gia_đình chowi thế_là bị nhà họ nhốt lại hẳn 10 ngày liền dlm nhốt lại để em_trai tao bắt chuột cho nhà họ mới hãm lồn
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Disgust,mấy thằng này người_ta gọi là mấy thằng nhà_quê năm nào rồi còn túm 5 tụm 3 trêu gái
cô giáo có tâm vời nghề ghêeeee,Enjoyment,cô_giáo có tâm vời nghề ghêe
tiếc quá đẹp trai mờ không có chim,Sadness,tiếc quá đẹp_trai mờ không có chim
crush ở nhà chơi gane rồi haha,Enjoyment,crush ở nhà chơi gane rồi haha
nhìn stt đồng cảm khủng khiếp .,Sadness,nhìn stt đồng_cảm khủng_khiếp
cài lò xô huyền thoại,Enjoyment,cài lò xô huyền_thoại
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,Disgust,quên đào_tạo đạo_đức thôi mà báo làm căng vãi icon_vui
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy_đồi đạo_đức
"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",Enjoyment,cố_gắng lên mọi lỗ lực và công_lao của em sẽ được đền_đáp một_cách thật là sứng đáng cố_gắng lên em nhé
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng_dáng mấy con đuỹ này là chuẩn_bị tinh_thần chạy chứ nó dí sấp_mặt luôn dù mình đéo làm gì nó hết icon_vui vừa dí vừa ngoác mỏ hét sợ vãi ra
trốn cũng đéo tha,Anger,trốn cũng đéo tha
"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",Enjoyment,con gấu_trúc cho nó ăn trúc đi tướng ngồi nhìn cưng vãi
rồi lại im thôi . 200k hay 5tr thì cũng vậy,Sadness,rồi lại im thôi 200k hay 5tr thì cũng vậy
"cái lò huyền thoại nè per , lúc mình ở chung đó",Enjoyment,cái lò huyền_thoại nè per lúc mình ở chung đó
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,Fear,hi_vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú_hồn
tuyệt vời,Enjoyment,tuyệt_vời
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),Surprise,trẻ_con bao_giờ ga_lăng sớm thế nhỉ hồi mình bằng bọn này đuổi đánh nhau hỡi chết icon_vui
tính đi chạy xe mà mưa cho nên ta ở nhà :),Other,tính đi chạy xe mà mưa cho_nên ta ở nhà icon_vui
nhìn nó cưng quá,Enjoyment,nhìn nó cưng quá
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,Disgust,chủ_tịch giả làm nhện và cái kết đừng bao_giờ xem_thường người khác
"này thì cắt đức quan hệ , toàn thể hiện , dume nó",Disgust,này thì cắt đức quan_hệ toàn_thể_hiện dume nó
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Disgust,con_gái bây_giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
hạnh phúc to nè,Enjoyment,hạnh_phúc to nè
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",Disgust,độ thâm của bác phải gọi là bố của tàu
ông thần nhây vãi đái 😂😂,Enjoyment,ông thần nhây vãi đái icon_vui icon_vui
tóm lại vẩn ế à,Surprise,tóm lại vẩn ế à
chả vị nước mắt à 😔,Sadness,chả vị nước_mắt à icon_buon
con lợn kia sao đập vào đầu vợ bé của tao =)),Anger,con lợn kia sao đập vào đầu vợ_bé của tao
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,Other,tôi rất mong sử phạt giao_thông cũng mạnh_tay như thế_nào thì tốt
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,Fear,cứ sợ rớt điện_thoại icon_vui sợ nhất_là lỡ khúc nào khó là té không_thể tả nổi
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,Enjoyment,hình_như anh nay đóng phim ngây_ngô thì fải phim đó hay lắm các bạn nên xem
hahaa coi cái mặt con nhỏ thấy thương,Enjoyment,hahaa coi cái mặt con nhỏ thấy thương
"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",Enjoyment,per khiếp nhớ ngày_xưa quá anh_em ơi đi làm cười từ sáng tới tối luôn
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,Other,per tự_nhiên tao cảm_thấy bị nhột nhột trong người mày ạ
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",Enjoyment,tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế chả_bù cho mình lúc đéo nào cũng cười cuộc_sống tràn_ngập niềm vui 3
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,Enjoyment,không phải crush v nhưng mà nhìn ổng cười mỉm nhìn cute vãi icon_vui
per anh tặng vợ cái bát nha kaka,Enjoyment,per anh tặng vợ cái bát nha_kaka
"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Enjoyment,tiêu_đề bộ phim cứ ngỡ là thể_loại hài nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này
như lol,Anger,như lol
bất ngờ chưa =))),Surprise,bất_ngờ chưa
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",Anger,trời mới bắt_đầu mưa đéo lo thu thóc đi_đứng đó quay ngang quay dọc
"ay , đau thế , thằng chó !",Anger,ay đau thế thằng chó
"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Sadness,có ai nhìn thấy hình_như người đàn_ông này đang rất đau_khổ không nhỉ mình nhận thấy hình_như ông ấy đang rất đau_khổ mà không_thể or không muốn nói ra
"đm cho tù mọt gông đi , cái thứ không não",Anger,chửi_thề cho tù mọt_gông đi cái thứ không não
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,Anger,con tao mà bị như này cả nhà bon kia không quỳ mà xin thì xác con_mẹ định luôn
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,Sadness,a per nhìn những hình_ảnh này sao em nhớ về anh quá 15 năm ròng_rã giờ anh lưu_lạc nơi đâu icon_buon icon_buon icon_buon icon_buon
"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",Disgust,kiến phải loại kiến_lửa kiến_vàng còn loại kiến lấy cứt_trâu làm tổ này thì đốt gì hả ông zời icon_vui
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,Enjoyment,per có nên áp_dụng với anh hàng_xóm không nhể icon_vui icon_vui icon_vui
đáng yêuc quá,Enjoyment,đáng yêuc quá
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,Other,ok mà cần gì cứ cắt chất_lượng lại thôi vẫn bán giá vậy
làm như chỉ có chúng mày biết yêu nhau ý .,Disgust,làm như chỉ có chúng_mày biết yêu nhau ý
nói chung là không nên uống chẳng bổ béo gì đâu,Other,nói_chung là không nên uống chẳng bổ béo gì đâu
không nổi thì mình chìm haha,Enjoyment,không nổi thì mình chìm haha
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,Other,nóng_tính quá hỏng viẹc trẻ_em rất thích ngọt mình nên nhẹ_nhàng cương_quyết mới được
anh cũng bướng làm !,Other,anh cũng bướng làm
"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Anger,mỗi lần như thế tao chửi mà bọn nó xem đó là trò_đùa mày ạ càng chửi càng cười
nhìn ma tiếc từng hạt trân châu,Sadness,nhìn ma tiếc từng hạt trân_châu
thật cảm động,Enjoyment,thật cảm_động
"trời ơi , tin được không ????",Surprise,trời_ơi tin được không
per nhìn mặt hài vler :))),Enjoyment,per nhìn mặt hài vler icon_vui
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",Enjoyment,đấy gọi là biết ngu mà vẫn đâm_đầu_vào giống tao icon_vui
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,Enjoyment,một phút huy_hoàng rồi chợt tắt còn hơn le_lói giữa ngàn_thu
người ngoài hành tinh đi học tiếng anh rồi à vãi,Disgust,người_ngoài hành_tinh đi học tiếng anh rồi à vãi
đó là một câu chuyện buồn 😀,Sadness,đó là một câu_chuyện buồn icon_vui
lỗi đạo cụ,Disgust,lỗi đạo_cụ
per dạo này bị xàm à 😂😂😂,Disgust,per dạo này bị xàm à icon_vui icon_vui icon_vui
như chết đi sống lại 🙂,Sadness,như chết đi sống lại icon_vui
"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",Sadness,bất_cứ lúc_nào nghĩ về đời tao chỉ thấy vị cay nồng nơi khóe mắt icon_vui
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Enjoyment,điện cho đứa bạn đem mũ ra coi ai hơn ai kakaa
thả tao ra để tao cắn chết mẹ nó =)),Anger,thả tao ra để tao cắn chết mẹ nó
per tao cứ thấy giống giống mày :))))),Enjoyment,per tao cứ thấy giống giống mày icon_vui
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,Disgust,vấn_đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",Disgust,giỏi thì tự đi mà thiết_kế các kiểu ở đó chỉ giỏi cào phím chê_bai thôi ông đã làm được gì am_hiểu gì mà chê này chê nọ
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,Enjoyment,ngoài kia còn có rất nhiều điều tốt_đẹp vẫn còn trên thế giớ này hy_vọng những điều tốt_đẹp luôn diễn ra từng giây_phút
cưng hết sức nà,Enjoyment,cưng hết_sức nà
"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Disgust,học kiểu ăn_nói láp xược tại_sao không dạy xưng tôi hay tôi mà là tao đúng chất bắc láo
cái nệm này độ đàn hồi đỉnh ghê,Surprise,cái nệm này độ đàn_hồi đỉnh ghê
"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",Sadness,em lấy đi niềm tin chả lại cho anh những gì cũng vì anh vụng_về đánh_rơi hay càng xa_vời càng dễ mất anh chân_thành nên anh tổn_thương
con mèo khốn nạn dám bóp vếu vợ tao à 😡,Anger,con mèo khốn_nạn dám bóp vếu vợ tao à icon_tucgian
"giỏi quá ta , cố gắng phát huy nha",Surprise,giỏi quá ta cố_gắng phát_huy nha
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Other,giờ mà quay lại cái thời đi học tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa
ăn cả thế giới đã,Other,ăn cả thế_giới đã
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",Anger,mấy cái thằng này xử bắn hết đi to xác không lo làm_ăn suốt ngày trộm_cắp
"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Disgust,đưa lên để nhận đồng_cảm à họ sai họ chịu phạt còn người_ta đỗ xe như thế bạn chả có quyền gì đuổi người_ta cả bỏ dần tư_tưởng đường trước cửa_nhà ta là của ta đi
